"PaperID","PaperTitle","AuthorNames","CleanSessionName","SessionName","OrderinSession","SessionNum"
"S1.1","Learned Perceptive Forward Dynamics Model for Safe and Platform-aware Robotic Navigation","Pascal Roth, Jonas Frey, Cesar Cadena, Marco Hutter","Perception and Navigation","1. Perception and Navigation",1,1
"S1.2","Demonstrating ViSafe: Vision-enabled Safety for High-speed Detect and Avoid","Parv Kapoor, Ian Higgins, Nikhil Varma Keetha, Jay Patrikar, Brady Moon, Zelin Ye, Yao He, Ivan Cisneros, Changliu Liu, Eunsuk Kang, Sebastian Scherer","Perception and Navigation","1. Perception and Navigation",2,1
"S1.3","Self-supervised Multi-future Occupancy Forecasting for Autonomous Driving","Bernard Lange, Masha Itkina, Jiachen Li, Mykel Kochenderfer","Perception and Navigation","1. Perception and Navigation",3,1
"S1.4","MISO: Multiresolution Submap Optimization for Efficient Globally Consistent Neural Implicit Reconstruction","Yulun Tian, Hanwen Cao, Sunghwan Kim, Nikolay Atanasov","Perception and Navigation","1. Perception and Navigation",4,1
"S1.5","Doppler Correspondence: Non-Iterative Scan Matching With Doppler Velocity-Based Correspondence","Jiwoo Kim, Geunsik Bae, Changseung Kim, Jinwoo Lee, Woojae Shin, Hyondong Oh","Perception and Navigation","1. Perception and Navigation",5,1
"S1.6","DRO: Doppler-Aware Direct Radar Odometry with Gyroscope","Cedric Le Gentil, Leonardo Brizi, Daniil Lisus, Xinyuan Qiao, Giorgio Grisetti, Timothy Barfoot","Perception and Navigation","1. Perception and Navigation",6,1
"S1.7","Certifiably-Correct Mapping for Safe Navigation Despite Odometry Drift","Devansh R. Agrawal, Rajiv Govindjee, Taekyung Kim, Trushant Adeshara, Jiangbo Yu, Anurekha Ravikumar, Dimitra Panagou","Perception and Navigation","1. Perception and Navigation",7,1
"S1.8","Kinodynamic Trajectory Following with STELA: Simultaneous Trajectory Estimation & Local Adaptation","Edgar Granados, Sumanth Tangirala, Kostas Bekris","Perception and Navigation","1. Perception and Navigation",8,1
"S1.9","Debiasing 6-DOF IMU via Hierarchical Learning of Continuous Bias Dynamics","Ben Liu, Tzu-Yuan Lin, Wei Zhang, Maani Ghaffari","Perception and Navigation","1. Perception and Navigation",9,1
"S2.1","π₀: A Vision-Language-Action Flow Model for General Robot Control","Kevin Black, Noah Brown, Danny Driess, Adnan Esmail, Michael Robert Equi, Chelsea Finn, Niccolo Fusai, Lachy Groom, Karol Hausman, Brian Ichter, Szymon Jakubczak, Tim Jones, Liyiming Ke, Sergey Levine, Adrian Li-Bell, Mohith Mothukuri, Suraj Nair, Karl Pertsch, Lucy Xiaoyang Shi, Laura Smith, James Tanner, Quan Vuong, Anna Walling, Haohuan Wang, Ury Zhilinsky","VLA Models","2. VLA Models",1,2
"S2.2","SpatialVLA: Exploring Spatial Representations for Visual-Language-Action Models","Delin Qu, Haoming Song, Qizhi Chen, Yuanqi Yao, Xinyi Ye, Jiayuan Gu, Zhigang Wang, Yan Ding, Bin Zhao, Dong Wang, Xuelong Li","VLA Models","2. VLA Models",2,2
"S2.3","FAST: Efficient Action Tokenization for Vision-Language-Action Models","Karl Pertsch, Kyle Stachowicz, Brian Ichter, Danny Driess, Suraj Nair, Quan Vuong, Oier Mees, Chelsea Finn, Sergey Levine","VLA Models","2. VLA Models",3,2
"S2.4","Uni-NaVid: A Video-based Vision-Language-Action Model for Unifying Embodied Navigation Tasks","Jiazhao Zhang, Kunyu Wang, Shaoan Wang, Minghan Li, Haoran Liu, Songlin Wei, Zhongyuan Wang, Zhizheng Zhang, He Wang","VLA Models","2. VLA Models",4,2
"S2.5","Learning to Act Anywhere with Task-centric Latent Actions","Qingwen Bu, Yanting Yang, Jisong Cai, Shenyuan Gao, Guanghui Ren, Maoqing Yao, Ping Luo, Hongyang Li","VLA Models","2. VLA Models",5,2
"S2.6","Unified World Models: Coupling Video and Action Diffusion for Pretraining on Large Robotic Datasets","Chuning Zhu, Raymond Yu, Siyuan Feng, Benjamin Burchfiel, Paarth Shah, Abhishek Gupta","VLA Models","2. VLA Models",6,2
"S2.7","CLIP-RT: Learning Language-Conditioned Robotic Policies from Natural Language Supervision","Gi-Cheon Kang, Junghyun Kim, Kyuhwan Shim, Jun Ki Lee, Byoung-Tak Zhang","VLA Models","2. VLA Models",7,2
"S2.8","Fine-Tuning Vision-Language-Action Models: Optimizing Speed and Success","Moo Jin Kim, Chelsea Finn, Percy Liang","VLA Models","2. VLA Models",8,2
"S2.9","NaVILA: Legged Robot Vision-Language-Action Model for Navigation","An-Chieh Cheng, Yandong Ji, Zhaojing Yang, Zaitian Gongye, Xueyan Zou, Jan Kautz, Erdem Biyik, Hongxu Yin, Sifei Liu, Xiaolong Wang","VLA Models","2. VLA Models",9,2
"S2.10","ConRFT: A Reinforced Fine-tuning Method for VLA Models via Consistency Policy","Yuhui Chen, Shuai Tian, Shugao Liu, Yingting Zhou, Haoran Li, Dongbin Zhao","VLA Models","2. VLA Models",10,2
